Intro to HTML & CSS Q&A,Question,Answer
,Hi team! I need to leave 20 minutes early - where can we access the recording after the session?,"No worries! We’ll share the link in an email, or you can also use the link that Ed dropped in the chat"
,"Hello! I noticed that the Zoom call is being recorded, will we have access to the recording?","Absolutely, you’ll be able to access all the lesson recordings - we’ll share the link in an email, and it’s also been posted in the chat :)"
,"I don't hear anything, you appear muted. Is it me? How do I unmute you if it's me? ",Hi Marcos - maybe try playing with your sound settings on your computer?
,what actually means full stack?,"Great question! Full stack means you build the frontend (what the user sees) and the backend (database, server, the stuff under the hood that nobody sees)"
,is this only for uk?,"You can join the Coding Weekend from anywhere in the world!

Our full-time course is only available to people based in the UK or Europe"
,how much is the course?,"The full info about our financing options is available on the website here: https://boolean.co.uk/course/software-developer-fulltime 

We offer a range of options to make the course accessible to everyone"
,Q: What is the rate of job finding in software after your course (job succesfully found/unfound?),Our placement rate is 95%
,Does job guarantee go for all countries or is it UK/Italy based only?,Our money back guarantee applies to people who have the right to work in and are looking for work in the UK
,Do you have much interaction with your cohort if you join the course?,Absolutely! The cohort is a supportive community and teachers are actively involved every day
,Do you help with finding a job in the UK only? if not where else?,"If you join us from outside the UK but in Europe, we can help you with all of our careers support (CV, mock interview practice, job searching tips) but we’re not able to offer the money back guarantee"
,How long are the sessions today,"The session today will be 2 hours, finishing at 12pm"
,I thought it’s from 2pm-4pm on Sunday,"Apologies and thank you Adanna, absolutely correct it starts at 2pm tomorrow!"
,is the 11-hour fundamentals course free too?,"Yes Andre, the 11hr Fundamentals Camp is totally free!"
,"When you mean Frontend, would that be the buttons you click on?","Everything you see on the screen is considered the frontend - buttons, links, images, text :)"
,Is there an option to choose and focus more in front-end or back end?,"Our course covers both front-end and back-end so you get a complete overview. If you find that you prefer one or the other, by the end of the course, you’ll have the tools and learning skills to be able to focus on one or the other!"
,What IDE/software do we need to code in HTML/CSS? I currently have Brackets installed on my machine,"Brackets should do fine. There are a lot of options, one of the most popular being VisualStudio Code. But you could even use Notepad!"
,do you learn c++ at boolearn?,C++ isn't taught at Boolean at this time but we encourage students to discover and talk about technologies that aren't officially part of the curriculum
,What is the schedule like for the full 6 month course? What is the weekly commitment?,We’ll be diving into this in more detail at the Open Day on Thursday. In a nutshell: you’ll do lessons/guided work in the morning 9.30am-1pm and then work on exercises/projects with Teacher support in the afternoon 3pm-6pm
,How can we code along during the weekend?,You can download a text editor like VS Code here: https://code.visualstudio.com/  and then use that to follow along the code that Edward is writing
,Please can you send the link to the 11 hour course,You can find the Fundamentals Camp here: https://boolean.co.uk/fundamentals
,Do you recommend a text editor or should I better use an IDE?,"a text editor works, but an IDE will be even better! You can use one like VSCode or Atom. Or you can use a browser-based one like codesandbox https://codesandbox.io/"
,"For backend development, is there a primary language that you teach?","Both frontend and backend are taught using Javascript. The fundamentals, concepts and skills you learn are transferrable to other languages, but it can be quite difficult to learn multiple languages before having confidence in the fundamentals :)"
,If I already know HTML & CSS is it worth me sticking around? I have no idea how to write JS.,It will be helpful to see how we approach online learning and to run through some things you might not already know in HTML/CSS. We’re also very happy to have you join us tomorrow for Javascript and on Monday for TDD :)
,Is there a minimum age for the course?,Yes you have to be over 18 to attend the full-time course
,"Is this program available for anyone internationally or is it just for folks in europe?
The paid progam not the coding weekend.",The full-time course is for people based in the UK or Europe :)
,"I think my question got missed, I work nights tuesday to friday, 00:30 to 11:00. Is there any other classes at a more suitible time for me?
If not il have to come back next year","Thanks Zak, at the moment we only run our full-time course from 9.30am-6pm so unfortunately we can’t change that! We’d love to see you join us if your schedule changes :)"
,did anyone get that git link? can you share here?,https://boolean-uk.github.io/coding-weekend/2022/jan/sessions/html-css/index.html
,What does TDD mean again?,TDD stands for Test Driven Development and it’s an approach to help us write high quality code!
,What browser is Edward using? It looks cool!,"Brave! It uses the Google Chrome engine, but without the tracking ;)"
,"Compared to a normal uni degree of 3 years, how does this take only 6 months?","Great question! Our course is very different from a uni degree - uni degrees focus on lots of theory, hardly any practical coding, and ~10-15hrs per week of lessons. We instead focus on the key practical skills to get you producing software and writing code, and run 30hrs+ per week!"
,Do you guys also teach Solidity/Rust?,"Solidity/Rust isn't taught at Boolean at this time, sorry!"
,"Do we just learn JS or do we learn frameworks aswell (node, react)?","Great question. After learning JS, you'll move on to node & React as well as Express for backend :)"
,Do Boolean offer any part time courses for people that need to work full time?,"Great question! At the moment we only run a full-time course, we find that it’s the most effective way for people who are looking to change their career into tech. But stay in touch as this might be something we can offer in the future!"
,Where can i download the text editor so i can follow along?,"VS Code is available here: https://code.visualstudio.com/
Ed is using Atom: https://atom.io/"
,"I have Notepad open on my windows, just wanted to check, is this ok?","Notepad will work fine for HTML and CSS, though you won't get the fancy highlighting or extra tools that something like VisualStudio Code or Atom has"
,Is he using Brackets? I'm trying to replicate his code on my computer but it's not working as it should ie the text isn't being formatted in the IDE as it shows on Ed's screen,He is using the less-than and greater-than sign: < and >
,Can I download visualstudio code or atom for free?,Yes :)
,"I am from India. Can i also get a job?
Rply please",Our full-time course is only available for people based in the UK or Europe at the moment!
,"If it helps, I'm using Replit.com, it is in the browser so it is rather easy",Great choice :)
,Will this coding weekend be available to watch at a later time?,"Absolutely, these sessions are being recorded so you can re-watch them"
,Do you have a maximum number of students per cohort to avoid overcrowding and ability to reach our teachers? Or does this tend to not be a problem?,We do! Our cohorts are capped at 35 max and we keep a ratio of 1 teacher to ~12 students
,Is it possible to use a computer machine to function as a server which can be accessed from another?,"Absolutely - a server is just a computer, so you can use a home PC as a server if you wish"
,What server software would you recommend?,There’s lots of options for writing software for the back-end. On the full-time course we use Node.js and some other tools
,"I'm unfortunately having to work alongside this, so will the meeting be able to be watched later?  Or how often are these weekends held?",These sessions are being recorded so you'll be able to re-watch
,I think on the majority of the browser is inspect element?,"Yep, most browsers have inspect, although Chrome (or a chrome-based browser like Brave) is the preferred browser for coding"
,"What is the ""href"" in the code?",That's a Hypertext Reference - it's how we tell our code to create a clickable link to a website location
,Hello! Does the spaces between lines of code make a difference? Is it important to have spaces between lines?,"Great question! The spacing is to keep your code readable, you won't necessarily see the spacing on the actual web page. How you structure your HTML is important, but the empty space is just to keep it readable as a developer"
,will you be teaching code management and versioning?,"Yes! This is emphasized throughout the entirety of the course, it's important that you finish the course ready to work in a development team :)"
,"This maybe is more complicated for you (Boolean). More complicated because I don't know how many students or aplicants you actually have outside of the UK.
But for example I got up at 4am to join this class. Is there any chance for any future events they can be at more international times?",Thanks Sebastian - we really appreciate having you here so early! Our full-time course is only available to people in the UK/Europe and time zone is a large factor that plays into this!
,Is HTML relavant now that we have applications like Wix which can create websites?,"Absolutely - Wix is a drag and drop site builder, but it's extremely limited compared to writing your own code (even though you can do a lot with Wix). Wix itself is built with HTML, among other things :)"
,"So sorry, I've missed a lot. How do we code along?","If you open up a text editor or download one like VS Code or Atom, you’ll be able to code along :)

Don’t worry if you missed it - we’ll be sharing recordings after the session!"
,I've heard about CSS and JavaScript what's RHTML?,HTML is a language that lets browsers interpret and display web pages
,What role does the <tag></tag> play in the web coding?,<tag></tag> is just an example of how to write tags
,Hi is there a full timetable available for the course this weekend?,"Yes! We’ll share this after the session, but in a nutshell
Today: 10am-12pm Intro to HTML & CSS
Tomorrow: 2pm-4pm Intro to Javascript
Monday: 6pm-7.30pm The power of TDD"
,In the code that is right now being explained there is an embeded link that shows as 'Boolean' can the same code be used in other application  (commenting on Youtube or Reddit) to embeded a link?,"Great question! Generally, developers build their applications so that you can't ""inject"" code like that into their app because it can cause security concerns, but some do allow you to."
,Why did you not write <!DOCTYPE HTML> at the top of the document?,live answered
,Will it be only one teacher throughout the 6 month course?,"A cohort will generally have a specific teacher in the morning while learning concepts, and then one or more afternoon teachers during afternoons to support you during practical work"
,does using external image make loading slower compared to using a saved image?,"Great question! Every image on the internet is saved on a computer somewhere, but it is certainly faster to use images saved on the same machine your website runs on."
,You said that full-time course is for people based in the UK or Europe. Do you mean Europe as EU or geographycally? where can i find info about all eligible countries?,We mean Europe geographically. Your best option if you’re not sure is to apply and speak to one of our Admissions team!
,What is the difference between xml and html?,A great article here explains the difference: https://www.w3schools.com/XML/xml_whatis.asp
,"this is going to be recorded so we could watch it later, right?","Yep, we’ll share the recording after :)"
